Read by,DR Version 10,7/26/2006 17:38,
6/2/2006 5:40,8.4,1.98,23
6/2/2006 5:50,6.5,2.14,23
6/2/2006 6:00,7.5,1.44,23
6/2/2006 6:10,5.1,1.76,23
6/2/2006 6:20,4.1,1.23,0
6/2/2006 6:30,3,1.76,338
6/2/2006 6:40,2.1,0.8,0
6/2/2006 6:50,3.6,1.34,0
6/2/2006 7:00,4.2,0.86,338
6/2/2006 7:10,5.4,0.8,315
6/2/2006 7:20,7,0.75,315
6/2/2006 7:30,7.9,0.75,315
6/2/2006 7:40,8.3,0.86,315
6/2/2006 7:50,8.6,1.07,315
6/2/2006 8:00,9.4,0.8,315
6/2/2006 8:10,9.1,0.96,315
6/2/2006 8:20,8.6,0.75,315
6/2/2006 8:30,8.6,0.64,315
6/2/2006 8:40,8.5,0.7,315
6/2/2006 8:50,9.2,0.7,315
6/2/2006 9:00,9.3,0.7,315
6/2/2006 9:10,10,0.91,315
6/2/2006 9:20,10.4,0.96,315
6/2/2006 9:30,10.8,1.07,315
6/2/2006 9:40,10.5,1.02,315
6/2/2006 9:50,10.6,1.23,315
6/2/2006 10:00,11.3,1.34,315
6/2/2006 10:10,12.2,1.28,315
6/2/2006 10:20,11.7,1.5,315
6/2/2006 10:30,12.1,1.5,315
6/2/2006 10:40,12.6,1.39,315
6/2/2006 10:50,12.7,1.44,315
6/2/2006 11:00,11.4,1.28,315
6/2/2006 11:10,11.1,1.07,338
6/2/2006 11:20,11.5,1.34,315
6/2/2006 11:30,12.4,1.44,315
6/2/2006 11:40,11.5,1.34,338
6/2/2006 11:50,10.9,1.39,338
6/2/2006 12:00,10.9,1.28,338
6/2/2006 12:10,10.1,1.23,315
6/2/2006 12:20,9.8,1.18,338
6/2/2006 12:30,9.4,0.96,338
6/2/2006 12:40,9.8,1.07,338
6/2/2006 12:50,9.9,0.91,338
6/2/2006 13:00,9.9,1.07,338
6/2/2006 13:10,9.8,1.07,338
6/2/2006 13:20,10.5,1.02,338
6/2/2006 13:30,10.4,1.12,338
6/2/2006 13:40,9.5,0.91,338
6/2/2006 13:50,9.3,0.96,338
6/2/2006 14:00,10.2,1.39,338
6/2/2006 14:10,10.6,1.39,338
6/2/2006 14:20,10.2,1.23,338
6/2/2006 14:30,9.8,1.02,338
6/2/2006 14:40,9.2,1.02,338
6/2/2006 14:50,9,1.12,0
6/2/2006 15:00,10.2,1.02,0
6/2/2006 15:10,9.9,1.02,0
6/2/2006 15:20,9.8,0.8,0
6/2/2006 15:30,9.4,0.86,0
6/2/2006 15:40,8.2,1.02,0
6/2/2006 15:50,7,0.8,338
6/2/2006 16:00,7.4,0.7,338
6/2/2006 16:10,8,0.7,338
6/2/2006 16:20,9.4,0.7,338
6/2/2006 16:30,9.8,0.64,338
6/2/2006 16:40,9.3,0.86,338
6/2/2006 16:50,8.9,0.7,338
6/2/2006 17:00,9.1,0.86,315
6/2/2006 17:10,9,0.7,338
6/2/2006 17:20,7.6,0.8,315
6/2/2006 17:30,7.4,0.7,315
6/2/2006 17:40,7,0.75,315
6/2/2006 17:50,7.1,0.7,315
6/2/2006 18:00,7,0.8,315
6/2/2006 18:10,6.1,0.86,293
6/2/2006 18:20,6.4,1.18,293
6/2/2006 18:30,6,1.18,293
6/2/2006 18:40,6.8,0.64,293
6/2/2006 18:50,7.5,1.12,293
6/2/2006 19:00,7.4,0.91,293
6/2/2006 19:10,7.4,1.44,315
6/2/2006 19:20,7.4,1.6,315
6/2/2006 19:30,8.2,1.34,338
6/2/2006 19:40,9.3,2.3,0
6/2/2006 19:50,10.5,1.82,0
6/2/2006 20:00,11.7,2.57,0
6/2/2006 20:10,11.3,2.14,23
6/2/2006 20:20,12.2,2.03,0
6/2/2006 20:30,13.7,2.62,0
6/2/2006 20:40,11.1,1.82,0
6/2/2006 20:50,11.7,1.6,23
6/2/2006 21:00,11.4,1.82,23
6/2/2006 21:10,11.7,2.35,23
6/2/2006 21:20,13.8,2.09,23
6/2/2006 21:30,10.6,2.09,0
6/2/2006 21:40,9.6,1.98,0
6/2/2006 21:50,12.1,2.35,23
6/2/2006 22:00,11.4,3.05,23
6/2/2006 22:10,10.1,1.55,0
6/2/2006 22:20,12.2,2.19,0
6/2/2006 22:30,13,2.3,0
6/2/2006 22:40,13.2,2.35,0
6/2/2006 22:50,13.1,2.19,0
6/2/2006 23:00,14.6,2.35,0
6/2/2006 23:10,16,2.35,0
6/2/2006 23:20,12.8,2.57,338
6/2/2006 23:30,14.1,2.14,0
6/2/2006 23:40,13.5,2.57,338
6/2/2006 23:50,15.4,2.46,338
6/3/2006 0:00,16,2.57,0
6/3/2006 0:10,16.1,2.94,0
6/3/2006 0:20,16.7,2.94,0
6/3/2006 0:30,14.2,3.69,338
6/3/2006 0:40,18.2,2.99,0
6/3/2006 0:50,16.2,3.32,0
6/3/2006 1:00,15,3.48,0
6/3/2006 1:10,15.5,3.53,338
6/3/2006 1:20,15.4,4.38,338
6/3/2006 1:30,15.2,3.96,338
6/3/2006 1:40,15.2,2.78,0
6/3/2006 1:50,15.9,3.26,338
6/3/2006 2:00,16.6,3.9,0
6/3/2006 2:10,17.5,3.37,0
6/3/2006 2:20,19.1,4.65,0
6/3/2006 2:30,17.6,2.94,338
6/3/2006 2:40,17.7,3.48,0
6/3/2006 2:50,16.6,3.05,338
6/3/2006 3:00,18.3,2.62,338
6/3/2006 3:10,15.6,2.99,338
6/3/2006 3:20,17.6,2.73,0
6/3/2006 3:30,18.6,2.25,338
6/3/2006 3:40,18.5,2.46,0
6/3/2006 3:50,18.9,3.26,0
6/3/2006 4:00,17.8,2.62,0
6/3/2006 4:10,13.8,2.46,0
6/3/2006 4:20,17.9,2.83,0
6/3/2006 4:30,19,2.89,0
6/3/2006 4:40,17.1,2.41,0
6/3/2006 4:50,18.6,2.46,338
6/3/2006 5:00,17.6,2.89,338
6/3/2006 5:10,16.1,2.94,338
6/3/2006 5:20,17.2,2.89,338
6/3/2006 5:30,17.9,2.3,338
6/3/2006 5:40,17.2,2.19,338
6/3/2006 5:50,17.8,3.1,338
6/3/2006 6:00,17.1,2.03,338
6/3/2006 6:10,16.2,2.78,338
6/3/2006 6:20,14.2,2.73,338
6/3/2006 6:30,15.6,2.51,338
6/3/2006 6:40,15.1,2.09,338
6/3/2006 6:50,13.9,2.46,338
6/3/2006 7:00,13.6,1.98,338
6/3/2006 7:10,12,1.71,338
6/3/2006 7:20,12.9,1.87,315
6/3/2006 7:30,13.1,2.03,315
6/3/2006 7:40,14.1,2.03,315
6/3/2006 7:50,12.3,1.92,315
6/3/2006 8:00,12,1.71,315
6/3/2006 8:10,12.8,1.44,315
6/3/2006 8:20,11.8,1.66,315
6/3/2006 8:30,12.2,1.66,315
6/3/2006 8:40,12.6,1.76,315
6/3/2006 8:50,12.5,1.82,315
6/3/2006 9:00,11.5,1.66,315
6/3/2006 9:10,11.8,1.6,315
6/3/2006 9:20,11.4,1.6,315
6/3/2006 9:30,12,1.76,293
6/3/2006 9:40,12.4,1.71,293
6/3/2006 9:50,12.7,1.66,293
6/3/2006 10:00,13.8,1.71,315
6/3/2006 10:10,13.1,1.66,315
6/3/2006 10:20,13.7,2.09,315
6/3/2006 10:30,13.8,2.09,315
6/3/2006 10:40,13,2.03,315
6/3/2006 10:50,11.7,1.87,315
6/3/2006 11:00,12.3,1.76,315
6/3/2006 11:10,12.7,1.87,315
6/3/2006 11:20,11.4,1.55,315
6/3/2006 11:30,13.7,1.92,315
6/3/2006 11:40,14.2,2.03,315
6/3/2006 11:50,14.8,1.76,315
6/3/2006 12:00,14.3,2.3,338
6/3/2006 12:10,15.5,3.37,338
6/3/2006 12:20,16.4,1.92,338
6/3/2006 12:30,13.7,2.09,338
6/3/2006 12:40,15.3,2.09,338
6/3/2006 12:50,14.6,1.98,338
6/3/2006 13:00,16.6,2.51,338
6/3/2006 13:10,16.2,2.62,338
6/3/2006 13:20,16.9,1.82,338
6/3/2006 13:30,18.4,2.57,338
6/3/2006 13:40,16.8,2.94,315
6/3/2006 13:50,19.1,2.3,338
6/3/2006 14:00,19.7,2.94,338
6/3/2006 14:10,16,3.74,338
6/3/2006 14:20,10.2,1.92,293
6/3/2006 14:30,11,1.6,293
6/3/2006 14:40,10.5,1.55,293
6/3/2006 14:50,13.2,2.62,315
6/3/2006 15:00,14.8,1.87,315
6/3/2006 15:10,15.4,2.14,315
6/3/2006 15:20,12.6,2.35,270
6/3/2006 15:30,14.7,1.82,293
6/3/2006 15:40,14.5,1.39,293
6/3/2006 15:50,15.8,6.26,225
6/3/2006 16:00,15.7,5.51,248
6/3/2006 16:10,11.8,1.66,203
6/3/2006 16:20,9.9,1.71,158
6/3/2006 16:30,12.6,1.82,158
6/3/2006 16:40,7.5,1.71,203
6/3/2006 16:50,10.2,2.19,203
6/3/2006 17:00,11.3,1.23,225
6/3/2006 17:10,11.7,1.44,248
6/3/2006 17:20,10.7,1.5,248
6/3/2006 17:30,10,1.28,248
6/3/2006 17:40,13,1.82,270
6/3/2006 17:50,15,2.03,270
6/3/2006 18:00,15.3,2.19,270
6/3/2006 18:10,16.2,2.67,270
6/3/2006 18:20,15.4,2.19,270
6/3/2006 18:30,16.1,2.3,270
6/3/2006 18:40,15,2.03,270
6/3/2006 18:50,15.4,1.82,270
6/3/2006 19:00,13.6,1.44,270
6/3/2006 19:10,13.9,1.5,293
6/3/2006 19:20,12.8,2.14,270
6/3/2006 19:30,9.8,1.39,270
6/3/2006 19:40,3.5,3.1,315
6/3/2006 19:50,7.5,4.38,270
6/3/2006 20:00,14.3,1.5,293
6/3/2006 20:10,12,1.71,293
6/3/2006 20:20,12.9,1.5,293
6/3/2006 20:30,12.7,1.5,293
6/3/2006 20:40,13.9,1.5,293
6/3/2006 20:50,12.1,1.66,315
6/3/2006 21:00,11.2,1.66,315
6/3/2006 21:10,13,1.44,293
6/3/2006 21:20,12.7,1.34,293
6/3/2006 21:30,12,1.98,293
6/3/2006 21:40,11.6,1.6,293
6/3/2006 21:50,11.4,1.66,293
6/3/2006 22:00,11.2,1.6,293
6/3/2006 22:10,12.2,1.39,293
6/3/2006 22:20,11.8,1.44,293
6/3/2006 22:30,12.5,1.92,293
6/3/2006 22:40,12.4,1.98,293
6/3/2006 22:50,12.7,2.41,293
6/3/2006 23:00,11.9,1.92,315
6/3/2006 23:10,12.2,2.35,293
6/3/2006 23:20,11.4,1.87,315
6/3/2006 23:30,12.9,1.92,315
6/3/2006 23:40,12.1,1.98,315
6/3/2006 23:50,13,2.19,315
6/4/2006 0:00,12.4,2.25,315
6/4/2006 0:10,12.9,2.03,293
6/4/2006 0:20,12.6,2.14,315
6/4/2006 0:30,11.2,2.19,315
6/4/2006 0:40,13.3,2.03,315
6/4/2006 0:50,12.3,2.03,293
6/4/2006 1:00,12.9,2.3,293
6/4/2006 1:10,14,2.73,293
6/4/2006 1:20,12.2,2.25,315
6/4/2006 1:30,11.5,2.14,338
6/4/2006 1:40,12.7,2.51,315
6/4/2006 1:50,12.6,2.35,315
6/4/2006 2:00,9.3,2.03,315
6/4/2006 2:10,12.4,2.3,293
6/4/2006 2:20,12.1,2.57,315
6/4/2006 2:30,11.5,1.71,338
6/4/2006 2:40,11.5,1.87,338
6/4/2006 2:50,11.4,2.35,315
6/4/2006 3:00,9.8,1.76,315
6/4/2006 3:10,11,1.82,338
6/4/2006 3:20,11.6,1.82,338
6/4/2006 3:30,9.8,2.14,315
6/4/2006 3:40,9.5,1.87,315
6/4/2006 3:50,10,2.19,338
6/4/2006 4:00,10.1,2.14,315
6/4/2006 4:10,11.6,2.19,338
6/4/2006 4:20,11.2,2.46,338
6/4/2006 4:30,12,2.41,315
6/4/2006 4:40,10.9,1.55,338
6/4/2006 4:50,11.1,2.25,315
6/4/2006 5:00,13.9,1.71,338
6/4/2006 5:10,11.2,2.14,338
6/4/2006 5:20,12.7,2.57,338
6/4/2006 5:30,13.7,2.35,338
6/4/2006 5:40,13.4,2.3,338
6/4/2006 5:50,12.8,2.35,338
6/4/2006 6:00,14.5,2.62,338
6/4/2006 6:10,14.6,2.09,0
6/4/2006 6:20,14.4,1.82,338
6/4/2006 6:30,11.8,1.92,338
6/4/2006 6:40,13.3,2.25,338
6/4/2006 6:50,12.8,1.55,338
6/4/2006 7:00,11.6,1.98,338
6/4/2006 7:10,10.5,1.39,338
6/4/2006 7:20,10.9,1.44,338
6/4/2006 7:30,10.9,1.28,338
6/4/2006 7:40,11.2,1.39,338
6/4/2006 7:50,10.8,1.6,338
6/4/2006 8:00,10.8,1.12,338
6/4/2006 8:10,10.6,1.39,338
6/4/2006 8:20,10.5,1.44,338
6/4/2006 8:30,10.9,1.28,338
6/4/2006 8:40,11.1,1.5,338
6/4/2006 8:50,11.6,1.66,338
6/4/2006 9:00,11.8,1.39,338
6/4/2006 9:10,11.6,1.76,338
6/4/2006 9:20,11.5,1.6,338
6/4/2006 9:30,12.4,1.5,338
6/4/2006 9:40,11.8,1.55,338
6/4/2006 9:50,12.7,1.76,338
6/4/2006 10:00,12.4,1.6,338
6/4/2006 10:10,12.7,1.71,338
6/4/2006 10:20,12.8,1.66,338
6/4/2006 10:30,12.2,1.76,338
6/4/2006 10:40,13.2,1.71,338
6/4/2006 10:50,13.1,1.92,338
6/4/2006 11:00,14.1,2.19,338
6/4/2006 11:10,13.6,1.98,338
6/4/2006 11:20,13.3,1.76,338
6/4/2006 11:30,13.6,1.82,338
6/4/2006 11:40,13.6,2.03,338
6/4/2006 11:50,13.8,1.98,338
6/4/2006 12:00,13.5,2.03,338
6/4/2006 12:10,13,1.98,315
6/4/2006 12:20,12.9,1.76,315
6/4/2006 12:30,13.3,1.71,315
6/4/2006 12:40,13.6,2.03,315
6/4/2006 12:50,13.6,2.03,315
6/4/2006 13:00,12.5,1.66,315
6/4/2006 13:10,13.3,1.5,315
6/4/2006 13:20,13.2,2.03,315
6/4/2006 13:30,13,1.87,315
6/4/2006 13:40,13.5,2.19,315
6/4/2006 13:50,13,1.82,315
6/4/2006 14:00,13.3,1.87,338
6/4/2006 14:10,14,2.03,338
6/4/2006 14:20,14,2.35,338
6/4/2006 14:30,15.3,2.3,338
6/4/2006 14:40,16.6,2.19,338
6/4/2006 14:50,16.1,2.35,338
6/4/2006 15:00,16.4,2.57,338
6/4/2006 15:10,15.1,1.76,338
6/4/2006 15:20,15.4,2.25,338
6/4/2006 15:30,14.3,1.92,338
6/4/2006 15:40,13,1.71,315
6/4/2006 15:50,12.5,1.92,338
6/4/2006 16:00,11.8,1.87,315
6/4/2006 16:10,11.5,1.66,315
6/4/2006 16:20,13,1.82,315
6/4/2006 16:30,12.5,1.87,315
6/4/2006 16:40,12.9,1.87,315
6/4/2006 16:50,13.3,2.03,315
6/4/2006 17:00,13.3,1.82,315
6/4/2006 17:10,13.2,2.03,315
6/4/2006 17:20,13.3,1.87,315
6/4/2006 17:30,14.8,2.41,315
6/4/2006 17:40,15.2,2.35,315
6/4/2006 17:50,15.4,2.19,315
6/4/2006 18:00,14.9,2.3,315
6/4/2006 18:10,15.9,2.19,315
6/4/2006 18:20,17.3,2.14,315
6/4/2006 18:30,18.2,2.62,315
6/4/2006 18:40,18.1,2.57,315
6/4/2006 18:50,17.7,3.15,338
6/4/2006 19:00,18.3,3.1,338
6/4/2006 19:10,19.3,2.78,338
6/4/2006 19:20,18.6,2.73,338
6/4/2006 19:30,17.1,2.46,338
6/4/2006 19:40,15.4,2.3,338
6/4/2006 19:50,18.4,2.51,338
6/4/2006 20:00,17.5,2.78,338
6/4/2006 20:10,17.2,2.3,338
6/4/2006 20:20,16.1,2.57,338
6/4/2006 20:30,16.3,2.41,0
6/4/2006 20:40,14.4,13.63,338
6/4/2006 20:50,18.7,2.62,338
6/4/2006 21:00,17,2.73,338
6/4/2006 21:10,17,2.57,338
6/4/2006 21:20,16.3,2.51,338
6/4/2006 21:30,16.1,2.41,338
6/4/2006 21:40,13.2,2.62,338
6/4/2006 21:50,13.9,2.3,338
6/4/2006 22:00,14.3,2.35,338
6/4/2006 22:10,15.8,2.41,0
6/4/2006 22:20,13.9,2.35,0
6/4/2006 22:30,13,2.73,338
6/4/2006 22:40,13.8,2.57,338
6/4/2006 22:50,16.2,2.25,0
6/4/2006 23:00,15,2.41,0
6/4/2006 23:10,12.6,2.41,0
6/4/2006 23:20,13.3,2.03,338
6/4/2006 23:30,13,2.46,338
6/4/2006 23:40,14.1,1.98,338
6/4/2006 23:50,15,2.51,315
6/5/2006 0:00,14.6,3.26,315
6/5/2006 0:10,15,2.83,338
6/5/2006 0:20,14.1,2.73,338
6/5/2006 0:30,15.1,2.94,338
6/5/2006 0:40,17.4,2.89,315
6/5/2006 0:50,14.4,2.35,315
6/5/2006 1:00,17.4,3.21,315
6/5/2006 1:10,15.2,2.57,315
6/5/2006 1:20,14.1,2.83,315
6/5/2006 1:30,14.7,2.73,338
6/5/2006 1:40,13.8,2.51,338
6/5/2006 1:50,15.1,3.9,338
6/5/2006 2:00,15.3,2.99,0
6/5/2006 2:10,14.3,2.94,0
6/5/2006 2:20,14.5,2.41,0
6/5/2006 2:30,13.7,2.83,0
6/5/2006 2:40,17,3.32,338
6/5/2006 2:50,14.1,2.14,338
6/5/2006 3:00,14.7,2.73,0
6/5/2006 3:10,13.1,2.57,338
6/5/2006 3:20,15,2.73,0
6/5/2006 3:30,15.9,2.78,0
6/5/2006 3:40,16.5,3.1,338
6/5/2006 3:50,16.5,2.83,338
6/5/2006 4:00,15.5,2.03,338
6/5/2006 4:10,16.2,2.73,338
6/5/2006 4:20,16.5,2.94,315
6/5/2006 4:30,15.7,2.83,315
6/5/2006 4:40,16.7,2.51,315
6/5/2006 4:50,16.4,2.73,315
6/5/2006 5:00,17.4,2.78,338
6/5/2006 5:10,16.2,2.35,338
6/5/2006 5:20,17.2,2.73,338
6/5/2006 5:30,18.3,2.73,338
6/5/2006 5:40,19.4,3.05,338
6/5/2006 5:50,20.2,3.21,338
6/5/2006 6:00,18.5,3.37,338
6/5/2006 6:10,18.5,2.35,338
6/5/2006 6:20,20.9,3.74,338
6/5/2006 6:30,25.8,3.8,338
6/5/2006 6:40,22.5,3.48,338
6/5/2006 6:50,22.8,3.74,0
6/5/2006 7:00,22.6,2.3,0
6/5/2006 7:10,22.5,2.51,0
6/5/2006 7:20,20,2.51,0
6/5/2006 7:30,14.8,2.51,0
6/5/2006 7:40,14.3,1.76,0
6/5/2006 7:50,15.8,2.3,23
6/5/2006 8:00,16.1,1.82,23
6/5/2006 8:10,14.4,2.14,23
6/5/2006 8:20,12.5,2.3,23
6/5/2006 8:30,12,1.39,23
6/5/2006 8:40,11.7,1.34,23
6/5/2006 8:50,11.3,1.34,23
6/5/2006 9:00,12.3,1.28,23
6/5/2006 9:10,12.3,1.18,23
6/5/2006 9:20,12.2,1.18,23
6/5/2006 9:30,11.5,1.12,23
6/5/2006 9:40,11,1.18,23
6/5/2006 9:50,10.3,1.12,23
6/5/2006 10:00,11.7,1.12,23
6/5/2006 10:10,11.8,1.07,23
6/5/2006 10:20,12.3,1.18,23
6/5/2006 10:30,12.8,1.12,23
6/5/2006 10:40,9,4.12,315
6/5/2006 10:50,4.1,2.35,293
6/5/2006 11:00,3.6,1.82,293
6/5/2006 11:10,10.6,2.09,23
6/5/2006 11:20,9.6,1.02,23
6/5/2006 11:30,9.4,0.91,45
6/5/2006 11:40,8.6,0.7,45
6/5/2006 11:50,8.5,0.64,45
6/5/2006 12:00,8.3,0.75,45
6/5/2006 12:10,8.7,0.7,45
